id,name,market_cap,price,circular_supply,changes_24h,max_supply,url,hist_url,changes_1h,platform_symbol,name_notation,market_url,description,logo_url,logo_filepath,changes_7d,symbol,type,platform,volume_24h,volume_7d,volume_30d,created_at,is_deleted,modified_at,crypto_compare_symbol
209,Crypto Bullion,1818434,1.81,1004543,-16.98,,https://coinmarketcap.com/currencies/cryptogenic-bullion/,https://coinmarketcap.com/currencies/cryptogenic-bullion/historical-data/?start=20171116&end=20171117,-0.58,,cryptogenic-bullion,https://coinmarketcap.com/currencies/cryptogenic-bullion/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/cryptogenic-bullion.png,/home/Alluminate/alluminate/media/logo/cryptogenic-bullion.png,3.67,CBX,currency,,,,,2017-10-10,false,2017-11-17,
281,Karbowanec,4472221,0.937762,4769036,33.93,,https://coinmarketcap.com/currencies/karbowanec/,https://coinmarketcap.com/currencies/karbowanec/historical-data/?start=20171116&end=20171117,9.18,,karbowanec,https://coinmarketcap.com/currencies/karbowanec/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/karbowanec.png,/home/Alluminate/alluminate/media/logo/karbowanec.png,79.33,KRB,currency,,230192,,,2017-10-10,false,2017-11-17,
1131,Sand Coin,0,0.873187,,-5.79,"3,400,000 SND",https://coinmarketcap.com/currencies/sand-coin/,https://coinmarketcap.com/currencies/sand-coin/historical-data/?start=20171116&end=20171117,16.71,ETH,sand-coin,https://coinmarketcap.com/currencies/sand-coin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/sand-coin.png,/home/Alluminate/alluminate/media/logo/sand-coin.png,31.63,SND,asset,Ethereum,3470,,,2017-10-10,false,2017-11-17,
212,Zennies,1899903,0.001898,1000812836,-3.7,,https://coinmarketcap.com/currencies/zennies/,https://coinmarketcap.com/currencies/zennies/historical-data/?start=20171116&end=20171117,-1.26,,zennies,https://coinmarketcap.com/currencies/zennies/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/zennies.png,/home/Alluminate/alluminate/media/logo/zennies.png,28.43,ZENI,currency,,8223,,,2017-10-10,false,2017-11-17,
278,BritCoin,350237,0.016468,21268092,-4.64,,https://coinmarketcap.com/currencies/britcoin/,https://coinmarketcap.com/currencies/britcoin/historical-data/?start=20171116&end=20171117,-0.67,,britcoin,https://coinmarketcap.com/currencies/britcoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/britcoin.png,/home/Alluminate/alluminate/media/logo/britcoin.png,6.84,BRIT,currency,,,,,2017-10-10,false,2017-11-17,
299,Vsync,414204,0.003866,107130855,10.67,,https://coinmarketcap.com/currencies/vsync/,https://coinmarketcap.com/currencies/vsync/historical-data/?start=20130428&end=20171010,-0.07,,vsync,https://coinmarketcap.com/currencies/vsync/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/vsync.png,/home/ubuntu/Desktop/Ideas2it/Datascience/Alluminate/media/logo/vsync.png,-14.05,XVS,currency,,1022,,,2017-10-10,true,2017-10-10,
288,PIECoin,98781,0.004665,21173203,-23.33,,https://coinmarketcap.com/currencies/piecoin/,https://coinmarketcap.com/currencies/piecoin/historical-data/?start=20171116&end=20171117,-0.67,,piecoin,https://coinmarketcap.com/currencies/piecoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/piecoin.png,/home/Alluminate/alluminate/media/logo/piecoin.png,-25.39,PIE,currency,,,,,2017-10-10,false,2017-11-17,
712,PeopleCoin,0,0.000079,,5.22,"750,231,495 MEN",https://coinmarketcap.com/currencies/peoplecoin/,https://coinmarketcap.com/currencies/peoplecoin/historical-data/?start=20171116&end=20171117,-0.67,,peoplecoin,https://coinmarketcap.com/currencies/peoplecoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/peoplecoin.png,/home/Alluminate/alluminate/media/logo/peoplecoin.png,17.15,MEN,currency,,,,,2017-10-10,false,2017-11-17,
834,TheCreed,0,0.000237,,,,https://coinmarketcap.com/currencies/thecreed/,https://coinmarketcap.com/currencies/thecreed/historical-data/?start=20171116&end=20171117,-0.67,,thecreed,https://coinmarketcap.com/currencies/thecreed/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/thecreed.png,/home/Alluminate/alluminate/media/logo/thecreed.png,-17.42,TCR,currency,,,,,2017-10-10,false,2017-11-17,
290,XP,1607947,0.00001,165002394324,-65.47,"226,825,041,621 XP",https://coinmarketcap.com/currencies/xp/,https://coinmarketcap.com/currencies/xp/historical-data/?start=20171116&end=20171117,-3.59,,xp,https://coinmarketcap.com/currencies/xp/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/xp.png,/home/Alluminate/alluminate/media/logo/xp.png,-24.14,XP,currency,,10716,,,2017-10-10,false,2017-11-17,
